Date,Close
10/1/12 16:00,252.01
10/2/12 16:00,250.6
10/3/12 16:00,255.92
10/4/12 16:00,260.47
10/5/12 16:00,258.51
10/8/12 16:00,259.06
10/9/12 16:00,250.96
10/10/12 16:00,244.99
10/11/12 16:00,244.22
10/12/12 16:00,242.36
10/15/12 16:00,244.18
10/16/12 16:00,243.94
10/17/12 16:00,247.49
10/18/12 16:00,244.85
10/19/12 16:00,240
10/22/12 16:00,233.78
10/23/12 16:00,234.31
10/24/12 16:00,228.49
10/25/12 16:00,222.92
10/26/12 16:00,238.24
10/31/12 16:00,232.89
11/1/12 16:00,232.14
11/2/12 16:00,232.42
11/5/12 16:00,234.33
11/6/12 16:00,237.56
11/7/12 16:00,232.06
11/8/12 16:00,227.35
11/9/12 16:00,226.31
11/12/12 16:00,226.47
11/13/12 16:00,226.6
11/14/12 16:00,222.95
11/15/12 16:00,220.6
11/16/12 16:00,225.23
11/19/12 16:00,229.71
11/20/12 16:00,233.78
11/21/12 16:00,238.03
11/23/12 16:00,239.88
11/26/12 16:00,243.62
11/27/12 16:00,243.4
11/28/12 16:00,247.11
11/29/12 16:00,251.27
11/30/12 16:00,252.05
12/3/12 16:00,250.33
12/4/12 16:00,252.49
12/5/12 16:00,253.96
12/6/12 16:00,253.37
12/7/12 16:00,253.27
12/10/12 16:00,247.77
12/11/12 16:00,250.69
12/12/12 16:00,251.76
12/13/12 16:00,251.25
12/14/12 16:00,249.19
12/17/12 16:00,253.86
12/18/12 16:00,260.4
12/19/12 16:00,257.99
12/20/12 16:00,261.5
12/21/12 16:00,256.92
12/24/12 16:00,258.62
12/26/12 16:00,248.63
12/27/12 16:00,248.31
12/28/12 16:00,245.18
12/31/12 16:00,250.87
1/2/13 16:00,257.31
1/3/13 16:00,258.48
1/4/13 16:00,259.15
1/7/13 16:00,268.46
1/8/13 16:00,266.38
1/9/13 16:00,266.35
1/10/13 16:00,265.34
1/11/13 16:00,267.94
1/14/13 16:00,272.73
1/15/13 16:00,271.9
1/16/13 16:00,268.93
1/17/13 16:00,270.48
1/18/13 16:00,272.12
1/22/13 16:00,270.19
1/23/13 16:00,268.11
1/24/13 16:00,273.62
1/25/13 16:00,283.99
1/28/13 16:00,276.04
1/29/13 16:00,260.35
1/30/13 16:00,272.76
1/31/13 16:00,265.5
2/1/13 16:00,265
2/4/13 16:00,259.98
2/5/13 16:00,266.89
2/6/13 16:00,262.22
2/7/13 16:00,260.23
2/8/13 16:00,261.95
2/11/13 16:00,257.21
2/12/13 16:00,258.7
2/13/13 16:00,269.47
2/14/13 16:00,269.24
2/15/13 16:00,265.09
2/19/13 16:00,269.75
2/20/13 16:00,266.41
2/21/13 16:00,265.94
2/22/13 16:00,265.42
2/25/13 16:00,259.87
2/26/13 16:00,259.36
2/27/13 16:00,263.25
2/28/13 16:00,264.27
3/1/13 16:00,265.74
3/4/13 16:00,273.11
3/5/13 16:00,275.59
3/6/13 16:00,273.79
3/7/13 16:00,273.88
3/8/13 16:00,274.19
3/11/13 16:00,271.24
3/12/13 16:00,274.13
3/13/13 16:00,275.1
3/14/13 16:00,265.74
3/15/13 16:00,261.82
3/18/13 16:00,257.89
3/19/13 16:00,256.41
3/20/13 16:00,257.28
3/21/13 16:00,253.39
3/22/13 16:00,257.75
3/25/13 16:00,256.02
3/26/13 16:00,260.31
3/27/13 16:00,265.3
3/28/13 16:00,266.49
4/1/13 16:00,261.61
4/2/13 16:00,263.32
4/3/13 16:00,259.03
4/4/13 16:00,259.08
4/5/13 16:00,255.48
4/8/13 16:00,258.95
4/9/13 16:00,261.14
4/10/13 16:00,264.77
4/11/13 16:00,269.85
4/12/13 16:00,272.87
4/15/13 16:00,267.72
4/16/13 16:00,272.34
4/17/13 16:00,267.4
4/18/13 16:00,259.42
4/19/13 16:00,260.32
4/22/13 16:00,263.55
4/23/13 16:00,268.9
4/24/13 16:00,268.78
4/25/13 16:00,274.7
4/26/13 16:00,254.81
4/29/13 16:00,249.74
4/30/13 16:00,253.81
5/1/13 16:00,248.23
5/2/13 16:00,252.55
5/3/13 16:00,258.05
5/6/13 16:00,255.72
5/7/13 16:00,257.73
5/8/13 16:00,258.68
5/9/13 16:00,260.16
5/10/13 16:00,263.63
5/13/13 16:00,264.51
5/14/13 16:00,268.33
5/15/13 16:00,266.56
5/16/13 16:00,264.12
5/17/13 16:00,269.9
5/20/13 16:00,267.63
5/21/13 16:00,268.86
5/22/13 16:00,262.96
5/23/13 16:00,261.8
5/24/13 16:00,261.74
5/28/13 16:00,267.29
5/29/13 16:00,265.53
5/30/13 16:00,266.83
5/31/13 16:00,269.2
6/3/13 16:00,266.88
6/4/13 16:00,265.7
6/5/13 16:00,267.17
6/6/13 16:00,267.83
6/7/13 16:00,276.87
6/10/13 16:00,281.07
6/11/13 16:00,274.78
6/12/13 16:00,271.67
6/13/13 16:00,275.79
6/14/13 16:00,273.99
6/17/13 16:00,278.06
6/18/13 16:00,281.76
6/19/13 16:00,278.16
6/20/13 16:00,273.44
6/21/13 16:00,273.36
6/24/13 16:00,270.61
6/25/13 16:00,272.09
6/26/13 16:00,277.57
6/27/13 16:00,277.55
6/28/13 16:00,277.69
7/1/13 16:00,282.1
7/2/13 16:00,283.73
7/3/13 16:00,284.03
7/5/13 16:00,285.88
7/8/13 16:00,290.59
7/9/13 16:00,291.53
7/10/13 16:00,292.33
7/11/13 16:00,299.66
7/12/13 16:00,307.55
7/15/13 16:00,306.57
7/16/13 16:00,306.87
7/17/13 16:00,308.69
7/18/13 16:00,304.11
7/19/13 16:00,305.23
7/22/13 16:00,303.48
7/23/13 16:00,301.06
7/24/13 16:00,298.94
7/25/13 16:00,303.4
7/26/13 16:00,312.01
7/29/13 16:00,306.1
7/30/13 16:00,302.41
7/31/13 16:00,301.22
8/1/13 16:00,305.57
8/2/13 16:00,304.21
8/5/13 16:00,300.99
8/6/13 16:00,300.75
8/7/13 16:00,296.91
8/8/13 16:00,295.74
8/9/13 16:00,297.26
8/12/13 16:00,296.69
8/13/13 16:00,293.97
8/14/13 16:00,291.34
